Offense Parent Group,Offense,Report DateTime,0
MOTOR VEHICLE THEFT,Motor Vehicle Theft,2016,4187
MOTOR VEHICLE THEFT,Motor Vehicle Theft,2018,4094
LARCENY-THEFT,Shoplifting,2013,4084
MOTOR VEHICLE THEFT,Motor Vehicle Theft,2019,3994
LARCENY-THEFT,Shoplifting,2021,3951
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2019,3921
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2017,3910
MOTOR VEHICLE THEFT,Motor Vehicle Theft,2015,3872
MOTOR VEHICLE THEFT,Motor Vehicle Theft,2008,3850
MOTOR VEHICLE THEFT,Motor Vehicle Theft,2017,3709
MOTOR VEHICLE THEFT,Motor Vehicle Theft,2012,3681
LARCENY-THEFT,Shoplifting,2010,3641
MOTOR VEHICLE THEFT,Motor Vehicle Theft,2010,3589
ASSAULT OFFENSES,Aggravated Assault,2022,3512
MOTOR VEHICLE THEFT,Motor Vehicle Theft,2011,3446
LARCENY-THEFT,Shoplifting,2011,3415
MOTOR VEHICLE THEFT,Motor Vehicle Theft,2009,3396
ASSAULT OFFENSES,Aggravated Assault,2021,3329
LARCENY-THEFT,Shoplifting,2020,3210
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2020,3163
ASSAULT OFFENSES,Intimidation,2021,3045
ASSAULT OFFENSES,Intimidation,2020,2919
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2008,2875
ASSAULT OFFENSES,Intimidation,2019,2861
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2016,2826
ASSAULT OFFENSES,Intimidation,2022,2806
ASSAULT OFFENSES,Aggravated Assault,2018,2748
ASSAULT OFFENSES,Aggravated Assault,2019,2732
FRAUD OFFENSES,Impersonation,2014,2721
ASSAULT OFFENSES,Aggravated Assault,2020,2684
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2020,2640
ASSAULT OFFENSES,Aggravated Assault,2017,2543
ASSAULT OFFENSES,Intimidation,2018,2473
LARCENY-THEFT,Theft From Building,2019,2340
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2010,2317
ASSAULT OFFENSES,Intimidation,2009,2293
ASSAULT OFFENSES,Aggravated Assault,2016,2216
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2009,2196
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2015,2188
ASSAULT OFFENSES,Intimidation,2010,2187
ASSAULT OFFENSES,Intimidation,2017,2136
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2017,2131
LARCENY-THEFT,Theft From Building,2017,2127
ASSAULT OFFENSES,Aggravated Assault,2015,2106
ASSAULT OFFENSES,Intimidation,2016,2097
LARCENY-THEFT,Theft From Building,2022,2081
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2022,2058
ASSAULT OFFENSES,Intimidation,2008,2050
ASSAULT OFFENSES,Aggravated Assault,2014,2020
ASSAULT OFFENSES,Intimidation,2011,2009
ASSAULT OFFENSES,Intimidation,2015,2009
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2018,1976
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2010,1969
LARCENY-THEFT,Theft From Building,2015,1956
LARCENY-THEFT,Theft From Building,2014,1955
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2008,1953
LARCENY-THEFT,Theft From Building,2018,1951
ASSAULT OFFENSES,Intimidation,2014,1936
LARCENY-THEFT,Theft From Building,2016,1932
ASSAULT OFFENSES,Aggravated Assault,2012,1930
LARCENY-THEFT,Theft From Building,2010,1921
LARCENY-THEFT,Theft From Building,2013,1916
LARCENY-THEFT,Theft From Building,2012,1872
ASSAULT OFFENSES,Intimidation,2013,1856
LARCENY-THEFT,Theft From Building,2011,1851
ASSAULT OFFENSES,Intimidation,2012,1835
TRESPASS OF REAL PROPERTY,Trespass of Real Property,2021,1825
LARCENY-THEFT,Theft From Building,2021,1823
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2010,1802
ROBBERY,Robbery,2009,1795
ASSAULT OFFENSES,Aggravated Assault,2013,1790
ASSAULT OFFENSES,Aggravated Assault,2011,1783
ROBBERY,Robbery,2022,1761
ROBBERY,Robbery,2021,1754
ASSAULT OFFENSES,Aggravated Assault,2010,1734
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2009,1724
ASSAULT OFFENSES,Aggravated Assault,2009,1722
LARCENY-THEFT,Theft From Building,2009,1721
ROBBERY,Robbery,2018,1702
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2011,1689
ROBBERY,Robbery,2008,1667
LARCENY-THEFT,Theft From Building,2008,1643
LARCENY-THEFT,Theft From Building,2020,1641
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2016,1634
ROBBERY,Robbery,2013,1602
ROBBERY,Robbery,2014,1580
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2012,1569
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2011,1568
ROBBERY,Robbery,2019,1555
ROBBERY,Robbery,2016,1555
ROBBERY,Robbery,2015,1546
ROBBERY,Robbery,2017,1539
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2009,1533
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2014,1527
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2019,1521
DRIVING UNDER THE INFLUENCE,Driving Under the Influence,2011,1506
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2008,1493
ROBBERY,Robbery,2020,1492
FRAUD OFFENSES,Impersonation,2015,1486
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2017,1465
ROBBERY,Robbery,2012,1447
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2019,1445
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2018,1445
ASSAULT OFFENSES,Aggravated Assault,2008,1442
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2015,1434
LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,2013,1433
ROBBERY,Robbery,2010,1428
