Offense Parent Group,Offense,Report DateTime,0
ARSON,Arson,2010,113
PROSTITUTION OFFENSES,Prostitution,2018,112
ARSON,Arson,2018,112
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2015,111
SEX OFFENSES,Rape,2015,111
ARSON,Arson,2019,111
FRAUD OFFENSES,Wire Fraud,2012,110
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2016,110
EXTORTION/BLACKMAIL,Extortion/Blackmail,2020,107
SEX OFFENSES,Rape,2009,106
FRAUD OFFENSES,Wire Fraud,2013,106
EMBEZZLEMENT,Embezzlement,2019,104
EXTORTION/BLACKMAIL,Extortion/Blackmail,2018,104
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2008,103
FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,2023,103
FRAUD OFFENSES,Wire Fraud,2014,103
LARCENY-THEFT,Pocket-picking,2022,103
ARSON,Arson,2016,102
SEX OFFENSES,Rape,2013,102
LARCENY-THEFT,Purse-snatching,2008,99
SEX OFFENSES,Rape,2011,97
STOLEN PROPERTY OFFENSES,Stolen Property Offenses,2023,95
EXTORTION/BLACKMAIL,Extortion/Blackmail,2019,93
ARSON,Arson,2015,92
SEX OFFENSES,Sodomy,2021,92
SEX OFFENSES,Rape,2010,89
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2017,89
ARSON,Arson,2013,87
PROSTITUTION OFFENSES,Purchasing Prostitution,2019,86
DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,2023,85
ARSON,Arson,2008,85
WEAPON LAW VIOLATIONS,Weapon Law Violations,2023,84
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2018,82
ARSON,Arson,2011,82
SEX OFFENSES,Sodomy,2019,81
LARCENY-THEFT,Purse-snatching,2009,81
SEX OFFENSES,Sodomy,2018,80
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2018,80
FRAUD OFFENSES,Wire Fraud,2011,80
EXTORTION/BLACKMAIL,Extortion/Blackmail,2017,80
LARCENY-THEFT,Pocket-picking,2021,78
EMBEZZLEMENT,Embezzlement,2020,77
LARCENY-THEFT,Pocket-picking,2020,77
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2017,77
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2011,76
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2022,76
ARSON,Arson,2012,75
FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,2023,75
SEX OFFENSES,Sodomy,2020,75
FRAUD OFFENSES,Impersonation,2022,74
ARSON,Arson,2014,72
FRAUD OFFENSES,Hacking/Computer Invasion,2021,71
FRAUD OFFENSES,Hacking/Computer Invasion,2022,71
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2019,69
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2020,69
EXTORTION/BLACKMAIL,Extortion/Blackmail,2016,68
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2021,66
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2018,64
FRAUD OFFENSES,Hacking/Computer Invasion,2020,64
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2016,62
LARCENY-THEFT,Purse-snatching,2011,61
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2019,60
SEX OFFENSES,Sodomy,2017,60
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2017,60
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2013,58
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2016,58
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2012,57
FRAUD OFFENSES,Wire Fraud,2010,56
FRAUD OFFENSES,Hacking/Computer Invasion,2019,55
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2008,55
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2014,55
LARCENY-THEFT,Purse-snatching,2010,55
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2012,55
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2009,54
FRAUD OFFENSES,Wire Fraud,2008,54
EMBEZZLEMENT,Embezzlement,2021,53
SEX OFFENSES,Sodomy,2016,53
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2022,53
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2022,51
SEX OFFENSES,Sexual Assault With An Object,2019,51
LARCENY-THEFT,Purse-snatching,2019,50
SEX OFFENSES,Sexual Assault With An Object,2021,50
FRAUD OFFENSES,Wire Fraud,2009,49
SEX OFFENSES,Sexual Assault With An Object,2020,48
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2011,48
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2020,48
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2015,47
LARCENY-THEFT,Purse-snatching,2012,47
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2019,46
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2018,46
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2013,46
COUNTERFEITING/FORGERY,Counterfeiting/Forgery,2023,45
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2010,45
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2020,45
SEX OFFENSES,Sexual Assault With An Object,2022,45
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2020,43
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2014,42
EMBEZZLEMENT,Embezzlement,2022,42
BAD CHECKS,Bad Checks,2020,42
LARCENY-THEFT,Purse-snatching,2016,42
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2021,41
ANIMAL CRUELTY,Animal Cruelty,2022,41
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2018,40
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2015,40
ANIMAL CRUELTY,Animal Cruelty,2021,39
EXTORTION/BLACKMAIL,Extortion/Blackmail,2015,37
FRAUD OFFENSES,Wire Fraud,2023,37
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2021,37
SEX OFFENSES,Sodomy,2012,36
LARCENY-THEFT,Purse-snatching,2013,36
LARCENY-THEFT,Purse-snatching,2017,36
BAD CHECKS,Bad Checks,2022,36
LARCENY-THEFT,Purse-snatching,2018,36
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2011,35
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2019,34
SEX OFFENSES,Sodomy,2013,34
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2008,34
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2021,33
SEX OFFENSES,Fondling,2023,33
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2019,32
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2010,32
LARCENY-THEFT,Purse-snatching,2014,32
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2018,32
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2014,31
LARCENY-THEFT,Purse-snatching,2015,31
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2009,30
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2016,30
PROSTITUTION OFFENSES,Purchasing Prostitution,2021,30
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2020,29
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2015,28
PROSTITUTION OFFENSES,Purchasing Prostitution,2022,28
BAD CHECKS,Bad Checks,2021,28
KIDNAPPING/ABDUCTION,Kidnapping/Abduction,2023,28
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2008,28
SEX OFFENSES,Sodomy,2015,28
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2013,28
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2010,28
LARCENY-THEFT,Purse-snatching,2021,28
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2008,27
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2015,27
SEX OFFENSES,Sodomy,2014,27
EXTORTION/BLACKMAIL,Extortion/Blackmail,2008,27
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2017,27
SEX OFFENSES,Sodomy,2011,27
LARCENY-THEFT,Purse-snatching,2020,26
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2013,26
ANIMAL CRUELTY,Animal Cruelty,2020,26
EXTORTION/BLACKMAIL,Extortion/Blackmail,2012,25
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2009,24
SEX OFFENSES,Rape,2023,24
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2020,24
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2017,24
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2011,24
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2012,23
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2014,23
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2020,23
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2017,22
PEEPING TOM,Peeping Tom,2017,22
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2013,22
PROSTITUTION OFFENSES,Purchasing Prostitution,2020,22
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2012,21
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2014,21
EXTORTION/BLACKMAIL,Extortion/Blackmail,2014,21
SEX OFFENSES,Sodomy,2023,20
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2009,20
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2008,20
EXTORTION/BLACKMAIL,Extortion/Blackmail,2009,20
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2022,20
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2016,20
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2011,19
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2017,19
ARSON,Arson,2023,19
EXTORTION/BLACKMAIL,Extortion/Blackmail,2010,19
ANIMAL CRUELTY,Animal Cruelty,2019,18
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2013,18
EXTORTION/BLACKMAIL,Extortion/Blackmail,2013,18
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2015,18
SEX OFFENSES,Sexual Assault With An Object,2018,17
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2009,17
PEEPING TOM,Peeping Tom,2019,17
LARCENY-THEFT,Purse-snatching,2022,17
PEEPING TOM,Peeping Tom,2018,16
PEEPING TOM,Peeping Tom,2013,16
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2022,16
SEX OFFENSES,Sodomy,2008,16
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2010,16
SEX OFFENSES,Sodomy,2009,16
HUMAN TRAFFICKING,"Human Trafficking, Commercial Sex Acts",2022,16
HUMAN TRAFFICKING,"Human Trafficking, Commercial Sex Acts",2019,16
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2008,16
FRAUD OFFENSES,Welfare Fraud,2022,16
PROSTITUTION OFFENSES,Prostitution,2021,15
SEX OFFENSES,Sexual Assault With An Object,2017,15
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2009,15
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2017,15
PEEPING TOM,Peeping Tom,2020,15
PEEPING TOM,Peeping Tom,2015,14
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2022,14
PEEPING TOM,Peeping Tom,2011,14
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2011,14
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2010,14
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2016,14
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2021,14
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2015,14
PEEPING TOM,Peeping Tom,2012,13
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2021,13
PEEPING TOM,Peeping Tom,2008,13
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2019,13
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2012,13
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2021,12
HUMAN TRAFFICKING,"Human Trafficking, Commercial Sex Acts",2020,12
SEX OFFENSES,Sexual Assault With An Object,2013,12
FRAUD OFFENSES,Impersonation,2023,12
SEX OFFENSES,Sexual Assault With An Object,2023,12
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2012,11
FRAUD OFFENSES,Welfare Fraud,2020,11
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2011,11
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2010,11
SEX OFFENSES,Sexual Assault With An Object,2012,11
EXTORTION/BLACKMAIL,Extortion/Blackmail,2023,11
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2016,11
SEX OFFENSES,Sexual Assault With An Object,2014,11
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2014,11
FRAUD OFFENSES,Welfare Fraud,2012,9
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2018,9
PEEPING TOM,Peeping Tom,2016,9
EMBEZZLEMENT,Embezzlement,2023,9
PEEPING TOM,Peeping Tom,2010,9
PEEPING TOM,Peeping Tom,2014,9
DRUNKENNESS,Drunkenness,2022,8
SEX OFFENSES,Sodomy,2010,8
SEX OFFENSES,Sexual Assault With An Object,2011,8
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2022,8
"SEX OFFENSES, CONSENSUAL",Incest,2018,8
PEEPING TOM,Peeping Tom,2022,8
PEEPING TOM,Peeping Tom,2009,8
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2013,8
HOMICIDE OFFENSES,Murder & Nonnegligent Manslaughter,2023,7
HOMICIDE OFFENSES,Justifiable Homicide,2013,7
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2018,7
SEX OFFENSES,Sexual Assault With An Object,2016,7
SEX OFFENSES,Sexual Assault With An Object,2015,7
LIQUOR LAW VIOLATIONS,Liquor Law Violations,2021,7
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2015,7
LARCENY-THEFT,Pocket-picking,2023,7
"SEX OFFENSES, CONSENSUAL",Incest,2013,7
EXTORTION/BLACKMAIL,Extortion/Blackmail,2011,7
FRAUD OFFENSES,Hacking/Computer Invasion,2023,7
"FAMILY OFFENSES, NONVIOLENT","Family Offenses, Nonviolent",2023,7
"SEX OFFENSES, CONSENSUAL",Incest,2012,7
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2014,6
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2016,6
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2012,6
"SEX OFFENSES, CONSENSUAL",Incest,2014,6
CURFEW/LOITERING/VAGRANCY VIOLATIONS,Curfew/Loitering/Vagrancy Violations,2022,6
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2022,6
SEX OFFENSES,Sexual Assault With An Object,2008,6
HUMAN TRAFFICKING,"Human Trafficking, Commercial Sex Acts",2021,6
PEEPING TOM,Peeping Tom,2021,6
PROSTITUTION OFFENSES,Prostitution,2020,6
HOMICIDE OFFENSES,Justifiable Homicide,2014,5
HOMICIDE OFFENSES,Negligent Manslaughter,2020,5
SEX OFFENSES,Sexual Assault With An Object,2010,5
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2021,5
PORNOGRAPHY/OBSCENE MATERIAL,Pornography/Obscene Material,2023,5
DRUNKENNESS,Drunkenness,2021,5
FRAUD OFFENSES,Welfare Fraud,2014,5
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2019,5
"SEX OFFENSES, CONSENSUAL",Statutory Rape,2020,5
GAMBLING OFFENSES,Betting/Wagering,2009,5
BAD CHECKS,Bad Checks,2023,4
HOMICIDE OFFENSES,Justifiable Homicide,2022,4
FRAUD OFFENSES,Welfare Fraud,2015,4
"SEX OFFENSES, CONSENSUAL",Incest,2016,4
DRUNKENNESS,Drunkenness,2020,4
FRAUD OFFENSES,Welfare Fraud,2011,4
HOMICIDE OFFENSES,Negligent Manslaughter,2019,4
GAMBLING OFFENSES,Betting/Wagering,2008,3
ANIMAL CRUELTY,Animal Cruelty,2023,3
FRAUD OFFENSES,Welfare Fraud,2010,3
BRIBERY,Bribery,2016,3
HOMICIDE OFFENSES,Justifiable Homicide,2019,3
"SEX OFFENSES, CONSENSUAL",Incest,2011,3
SEX OFFENSES,Sexual Assault With An Object,2009,3
HOMICIDE OFFENSES,Justifiable Homicide,2017,3
DRUNKENNESS,Drunkenness,2019,3
GAMBLING OFFENSES,Betting/Wagering,2017,3
GAMBLING OFFENSES,Betting/Wagering,2012,2
GAMBLING OFFENSES,Betting/Wagering,2015,2
FRAUD OFFENSES,Welfare Fraud,2023,2
PROSTITUTION OFFENSES,Prostitution,2022,2
FRAUD OFFENSES,Welfare Fraud,2021,2
"SEX OFFENSES, CONSENSUAL",Incest,2015,2
"SEX OFFENSES, CONSENSUAL",Incest,2017,2
FRAUD OFFENSES,Welfare Fraud,2018,2
HOMICIDE OFFENSES,Justifiable Homicide,2016,2
HOMICIDE OFFENSES,Justifiable Homicide,2015,2
GAMBLING OFFENSES,Operating/Promoting/Assisting Gambling,2009,2
FRAUD OFFENSES,Welfare Fraud,2008,2
FRAUD OFFENSES,Welfare Fraud,2019,2
BRIBERY,Bribery,2008,2
HOMICIDE OFFENSES,Justifiable Homicide,2020,2
HOMICIDE OFFENSES,Negligent Manslaughter,2008,2
"SEX OFFENSES, CONSENSUAL",Incest,2019,2
BRIBERY,Bribery,2017,2
DRUG/NARCOTIC OFFENSES,Drug Equipment Violations,2023,2
BRIBERY,Bribery,2009,2
FRAUD OFFENSES,Welfare Fraud,2009,2
BRIBERY,Bribery,2011,2
HUMAN TRAFFICKING,"Human Trafficking, Involuntary Servitude",2020,2
PEEPING TOM,Peeping Tom,2023,2
BRIBERY,Bribery,2015,1
FRAUD OFFENSES,Identity Theft,2018,1
BRIBERY,Bribery,2020,1
BRIBERY,Bribery,2010,1
FRAUD OFFENSES,Identity Theft,2014,1
BRIBERY,Bribery,2021,1
BRIBERY,Bribery,2018,1
FRAUD OFFENSES,Identity Theft,2016,1
GAMBLING OFFENSES,Operating/Promoting/Assisting Gambling,2018,1
FRAUD OFFENSES,Welfare Fraud,2013,1
FRAUD OFFENSES,Welfare Fraud,2016,1
PROSTITUTION OFFENSES,Assisting or Promoting Prostitution,2020,1
PROSTITUTION OFFENSES,Purchasing Prostitution,2016,1
PROSTITUTION OFFENSES,Purchasing Prostitution,2017,1
PROSTITUTION OFFENSES,Purchasing Prostitution,2018,1
LARCENY-THEFT,Theft From Coin-Operated Machine or Device,2023,1
HOMICIDE OFFENSES,Negligent Manslaughter,2022,1
HOMICIDE OFFENSES,Negligent Manslaughter,2021,1
HOMICIDE OFFENSES,Negligent Manslaughter,2013,1
HOMICIDE OFFENSES,Negligent Manslaughter,2011,1
HOMICIDE OFFENSES,Negligent Manslaughter,2010,1
HOMICIDE OFFENSES,Negligent Manslaughter,2009,1
HOMICIDE OFFENSES,Justifiable Homicide,2021,1
HOMICIDE OFFENSES,Justifiable Homicide,2018,1
HOMICIDE OFFENSES,Justifiable Homicide,2011,1
GAMBLING OFFENSES,Operating/Promoting/Assisting Gambling,2022,1
GAMBLING OFFENSES,Operating/Promoting/Assisting Gambling,2008,1
GAMBLING OFFENSES,Gambling Equipment Violation,2008,1
GAMBLING OFFENSES,Betting/Wagering,2021,1
GAMBLING OFFENSES,Betting/Wagering,2020,1
GAMBLING OFFENSES,Betting/Wagering,2018,1
GAMBLING OFFENSES,Betting/Wagering,2014,1
GAMBLING OFFENSES,Betting/Wagering,2011,1
GAMBLING OFFENSES,Betting/Wagering,2010,1
"SEX OFFENSES, CONSENSUAL",Incest,2008,1
"SEX OFFENSES, CONSENSUAL",Incest,2021,1
"SEX OFFENSES, CONSENSUAL",Incest,2022,1
FRAUD OFFENSES,Welfare Fraud,2017,1
HUMAN TRAFFICKING,"Human Trafficking, Commercial Sex Acts",2017,1
