,,ASSAULT OFFENSES,BURGLARY/BREAKING&ENTERING,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,MOTOR VEHICLE THEFT,FRAUD OFFENSES,ROBBERY,TRESPASS OF REAL PROPERTY,DRUG/NARCOTIC OFFENSES,"FAMILY OFFENSES, NONVIOLENT",DRIVING UNDER THE INFLUENCE,WEAPON LAW VIOLATIONS,SEX OFFENSES,BAD CHECKS,COUNTERFEITING/FORGERY,PROSTITUTION OFFENSES,STOLEN PROPERTY OFFENSES,EMBEZZLEMENT,LIQUOR LAW VIOLATIONS,CURFEW/LOITERING/VAGRANCY VIOLATIONS,ARSON,KIDNAPPING/ABDUCTION,PEEPING TOM,EXTORTION/BLACKMAIL,PORNOGRAPHY/OBSCENE MATERIAL,HOMICIDE OFFENSES,"SEX OFFENSES, CONSENSUAL",ANIMAL CRUELTY,HUMAN TRAFFICKING,DRUNKENNESS,GAMBLING OFFENSES,LARCENY-THEFT,BRIBERY
1,2014,0.08435072142064373,0.08871758934828311,0.07791304347826086,0.07895215572130253,0.06993291319373857,0.08296390120329322,0.08339429407461595,0.11056910569105691,0.0782800441014333,0.10946745562130178,0.07346938775510205,0.07514450867052024,0.09551656920077972,0.07105263157894737,0.04777070063694268,0.07258064516129033,0.08496732026143791,0.04,0.2857142857142857,0.0547945205479452,0.05454545454545454,0.2222222222222222,0.1,0.23076923076923078,0.07142857142857142,0.1,,,,,,
1,2015,0.07920792079207921,0.07322533912814434,0.07755306702323249,0.09992254066615028,0.08599636269160821,0.0872093023255814,0.06761078117862038,0.0880893300248139,,0.09170731707317073,0.06779661016949153,0.08287292817679558,0.07894736842105263,0.05314009661835749,0.1457725947521866,0.08333333333333333,0.06451612903225806,0.13513513513513514,0.1276595744680851,0.05434782608695652,0.07692307692307693,0.07142857142857142,0.1,0.14285714285714285,,,,,,,,1.0
1,2016,0.07739432305493159,0.09259504570141741,0.07924707371085099,0.09317365269461078,0.08247142079477408,0.0901481004507405,0.07944915254237288,0.08328826392644673,0.06976744186046512,0.08061749571183534,0.07680722891566265,0.09263157894736843,0.08958333333333333,0.09912536443148688,0.08425720620842572,0.11398963730569948,0.12244897959183673,0.11818181818181818,0.08064516129032258,0.0784313725490196,0.05084745762711865,0.1111111111111111,0.11764705882352941,,0.13636363636363635,0.2,,,,,,
1,2017,0.08030258946755892,0.08639281129653402,0.08534015653220951,0.08340080971659919,0.09020817270624518,0.07397793640493186,0.07623433103095421,0.07827956989247312,0.0832420591456736,0.08761766835626358,0.07279693486590039,0.09461966604823747,0.07563025210084033,0.13333333333333333,0.08376963350785341,0.08282828282828283,0.07692307692307693,0.0898876404494382,0.06666666666666667,0.06711409395973154,0.07692307692307693,,0.05063291139240506,0.13636363636363635,0.06666666666666667,0.42857142857142855,,0.5,,,,
1,2018,0.07890556045895852,0.083775447254781,0.08104044504585776,0.07855574530373262,0.09564750134336378,0.0805408583186361,,0.0789838337182448,0.0711864406779661,0.08776978417266187,,0.1135593220338983,0.09615384615384616,,0.024793388429752067,0.07528409090909091,0.10317460317460317,0.06097560975609756,0.0625,0.09821428571428571,0.08641975308641975,0.0625,0.049019607843137254,,0.058823529411764705,,,,,0.5,,
1,2019,0.08155235625502996,0.09969907104540102,0.09303928325292901,0.06614883487847657,0.10135720473577822,0.08681672025723473,0.11803781297904957,0.11240073304825901,0.23322683706070288,0.09019886363636363,0.11809815950920245,,0.16990291262135923,0.09216589861751152,0.12121212121212122,0.0784,0.10752688172043011,0.07246376811594203,0.15217391304347827,0.0990990990990991,0.04065040650406504,0.13333333333333333,0.09473684210526316,0.08,0.07894736842105263,0.42857142857142855,,,,,,
1,2020,0.087995337995338,,0.0671372784620006,0.07567786321327398,,0.09267965077233042,0.10746951219512195,0.12362911266201396,0.06976744186046512,0.13026052104208416,0.08414239482200647,0.10828025477707007,0.10526315789473684,0.0967741935483871,0.2222222222222222,0.08870967741935484,0.08823529411764706,0.13793103448275862,,0.005847953216374269,0.1076923076923077,0.06666666666666667,0.08571428571428572,0.05128205128205128,0.10909090909090909,0.2,,0.3,,,,
1,2021,0.071221193975685,0.08938206250636262,,0.07881403640457872,0.1030188679245283,0.0764403879064461,0.08602739726027397,0.2697201017811705,0.04918032786885246,0.0696969696969697,0.08996539792387544,0.09327548806941431,0.07407407407407407,0.08196721311475409,,0.10474631751227496,0.08333333333333333,,0.15384615384615385,,0.059782608695652176,,0.0625,0.08823529411764706,0.09302325581395349,,,0.125,,,,
1,2022,,0.09785368105238865,0.0869264787175235,,0.08826990976853669,0.1080773606370876,0.09965803615046409,0.05961251862891207,0.06666666666666667,0.07993850883935434,0.06900726392251816,0.08669354838709678,0.058823529411764705,0.12173913043478261,0.1111111111111111,,0.024390243902439025,0.0625,0.16666666666666666,0.13259668508287292,,0.125,,0.022222222222222223,,0.2857142857142857,0.13513513513513514,0.16666666666666666,,1.0,,
1,2023,0.7006633499170812,0.7246049661399548,0.713527851458886,0.7018561484918794,0.7579365079365079,0.7166666666666667,0.67,0.632183908045977,0.6,0.6875,0.6829268292682927,0.6491228070175439,1.0,0.7352941176470589,,0.7204301075268817,1.0,,,0.6842105263157895,0.6785714285714286,0.5,1.0,1.0,0.7142857142857143,,0.6666666666666666,,,,,
