,,Burglary/Breaking & Entering,All Other Larceny,Destruction/Damage/Vandalism of Property,Motor Vehicle Theft,Simple Assault,Shoplifting,Aggravated Assault,Intimidation,Theft From Building,Theft of Motor Vehicle Parts or Accessories,Robbery,Trespass of Real Property,Impersonation,Credit Card/Automated Teller Machine Fraud,"Family Offenses, Nonviolent",Drug/Narcotic Violations,Driving Under the Influence,False Pretenses/Swindle/Confidence Game,Weapon Law Violations,Bad Checks,Counterfeiting/Forgery,Prostitution,Stolen Property Offenses,Pocket-picking,Fondling,Drug Equipment Violations,Wire Fraud,Embezzlement,Rape,Liquor Law Violations,Sodomy,Curfew/Loitering/Vagrancy Violations,Arson,Purse-snatching,Sexual Assault With An Object,Kidnapping/Abduction,Peeping Tom,Welfare Fraud,Extortion/Blackmail,Incest,Identity Theft,Assisting or Promoting Prostitution,Murder & Nonnegligent Manslaughter,Pornography/Obscene Material,Theft From Coin-Operated Machine or Device,Negligent Manslaughter,Justifiable Homicide,Betting/Wagering,Statutory Rape,Theft From Motor Vehicle,Hacking/Computer Invasion,Animal Cruelty,Purchasing Prostitution,Drunkenness,"Human Trafficking, Commercial Sex Acts",Bribery,Operating/Promoting/Assisting Gambling,Gambling Equipment Violation,"Human Trafficking, Involuntary Servitude"
2,2008,0.06183368869936034,0.07455289808230985,0.07892491467576791,0.10062402496099844,0.06957311534968211,0.08315514373960561,0.08599167822468794,0.06901615271659324,0.08439587128111718,0.07324516785350967,0.05935251798561151,0.09211553473848556,0.11368653421633554,0.05032679738562092,0.058898847631242,,0.058161350844277676,0.0873634945397816,0.06622516556291391,0.09479305740987984,0.08235294117647059,0.051094890510948905,0.04961832061068702,0.05263157894736842,0.07262569832402235,0.07933194154488518,0.09803921568627451,,0.014814814814814815,0.058524173027989825,0.10526315789473684,0.00980392156862745,0.047058823529411764,,,0.05555555555555555,0.15384615384615385,,0.14814814814814814,,,0.038461538461538464,0.03571428571428571,0.10526315789473684,0.058823529411764705,,,,0.14285714285714285,,,,,,,,,,
2,2009,0.06605199516324063,0.06763717805151176,0.0675888085507702,0.07622130665097115,0.07283464566929133,0.08329477093937991,0.06246385193753615,0.06812227074235808,0.07911576497963932,0.07346938775510205,,0.08873720136518772,0.08644067796610169,0.09156785243741765,0.07354555433589462,0.09360730593607305,0.05173807599029911,0.08653846153846154,0.05970149253731343,,0.05341246290801187,0.07894736842105263,0.10176991150442478,,0.07368421052631578,0.09437751004016064,0.1276595744680851,0.05421686746987952,0.11009174311926606,,0.13333333333333333,0.0743801652892562,0.03355704697986577,0.037037037037037035,0.25,0.018518518518518517,,,0.045454545454545456,,,0.13043478260869565,0.15,,0.2,,,,,,,,,,,0.5,,,
2,2010,0.06705991927972679,0.07255963118861496,0.0688907422852377,0.08151260504201681,0.0737560975609756,0.07375925418151906,0.05936599423631124,0.07446322521699406,0.06502359727320399,0.08642659279778393,0.06957132817990162,0.07553648068669527,0.07228915662650602,,0.06966773847802786,0.09495036685369011,0.08448540706605223,0.07380073800738007,0.08261617900172118,0.09198423127463863,0.056179775280898875,,0.1092436974789916,0.10222222222222223,0.05235602094240838,,0.08928571428571429,0.037037037037037035,0.050505050505050504,0.0821529745042493,0.18181818181818182,,0.09821428571428571,0.09090909090909091,0.2,0.08695652173913043,,,,,,0.0625,0.05555555555555555,0.09090909090909091,0.06896551724137931,,,1.0,,,,,,,,,,,
2,2011,0.06761932822628168,0.06034979819334999,0.07301310043668122,0.0608946608946609,0.07553528945281522,0.07107341327873647,0.06060606060606061,0.07898658718330849,0.07584722969338353,0.08753993610223643,0.06474313863476425,0.08217716115261472,0.09281961471103327,0.08975444538526672,0.07915273132664437,0.08530805687203792,,0.06702898550724638,0.08032786885245902,0.06826568265682657,0.06984126984126984,0.07352941176470588,0.05042016806722689,0.043478260869565216,0.07514450867052024,0.08823529411764706,0.03614457831325301,0.08,0.09375,0.08808290155440414,0.1111111111111111,0.05194805194805195,0.03614457831325301,0.04918032786885246,,0.0425531914893617,0.14285714285714285,,0.14285714285714285,,0.14285714285714285,0.16666666666666666,0.09090909090909091,0.18181818181818182,0.058823529411764705,,,,,,,,,,,,,,
2,2012,0.07299938912645082,0.07096171802054155,0.08084730803177405,0.07249524843877274,0.0725774024929634,0.08585055643879173,0.06910778751933987,0.07298474945533769,0.0647902283590016,0.07198748043818466,0.05935127674258109,0.07635983263598327,0.08395802098950525,0.0806686046511628,0.07227332457293036,0.10388782664117271,0.10141509433962265,0.08258258258258258,0.09090909090909091,0.05708661417322835,0.042042042042042045,0.13807531380753138,0.05687203791469194,0.07471264367816093,0.054878048780487805,0.06787330316742081,0.10619469026548672,0.08208955223880597,0.049586776859504134,0.125,0.058823529411764705,0.09090909090909091,,0.0851063829787234,0.07692307692307693,0.16666666666666666,,0.1111111111111111,0.04,,,0.08333333333333333,0.16666666666666666,0.07142857142857142,,,,1.0,,,,,,,,,,,
2,2013,0.07522306108442003,0.06735836627140974,0.07762237762237763,0.06219197371509035,0.06597008809670149,0.07307503678273664,0.0743847874720358,0.08266237251744499,0.07228289131565263,0.06393328700486449,0.08369768894440974,0.07044534412955465,0.07711442786069651,0.06911764705882353,0.07125603864734299,0.08258928571428571,0.07477477477477477,0.06595995288574794,0.07806691449814127,0.07186858316221766,0.0782122905027933,0.13333333333333333,0.05327868852459016,0.07894736842105263,0.07586206896551724,0.09944751381215469,0.06862745098039216,0.07194244604316546,0.14285714285714285,0.0945945945945946,0.0967741935483871,0.05263157894736842,0.09195402298850575,0.16666666666666666,0.08333333333333333,0.15555555555555556,0.125,,0.15,,,0.19230769230769232,0.05555555555555555,0.09090909090909091,0.20689655172413793,,,,,,,,,,,,,,
2,2014,0.07189908899789768,0.053475935828877004,0.06521739130434782,0.06658177187556849,0.06936758893280633,0.07342007434944238,0.06610337972166998,0.06862745098039216,0.08664259927797834,0.08109875735775017,0.04876504116529449,0.05779078273591807,,0.09136212624584718,0.07386990077177508,0.07328833172613308,0.07001972386587771,0.059293044469783354,0.044897959183673466,0.06432748538011696,0.05789473684210526,0.07857142857142857,0.07258064516129033,0.10196078431372549,0.02824858757062147,0.09326424870466321,0.0392156862745098,0.05228758169934641,0.061068702290076333,0.08,0.18518518518518517,0.047619047619047616,0.0547945205479452,0.125,0.09090909090909091,0.14545454545454545,,0.2,,0.3333333333333333,,,0.08695652173913043,0.07692307692307693,0.1,,,,,,,,,,,,,,
2,2015,0.06308441986039773,0.06591796875,0.07153601871970583,0.07745933384972889,0.0786282682834407,0.08591453764413294,0.08028503562945369,0.06766169154228856,0.07711950970377937,0.07863247863247863,0.08462532299741603,0.07217907720420283,0.1034965034965035,0.059280169371912494,,0.12360335195530726,0.08878048780487804,0.06625766871165645,0.059322033898305086,0.07675438596491228,0.09903381642512077,0.0473186119873817,0.08928571428571429,0.10837438423645321,0.04739336492890995,0.08888888888888889,0.07453416149068323,0.043010752688172046,0.13043478260869565,0.07207207207207207,0.06896551724137931,0.10638297872340426,0.05434782608695652,,,0.15384615384615385,0.07142857142857142,,0.025,,,0.07692307692307693,0.07692307692307693,0.07142857142857142,0.1111111111111111,,,,,,,,,,,,,,
2,2016,,0.06374573532052433,0.08177791838025941,0.0852694610778443,0.074337899543379,0.08296943231441048,0.07525912573231185,0.06571428571428571,0.08835758835758836,0.08741258741258741,0.06567933032839665,0.08015536723163842,0.10090237899917966,0.06861313868613139,0.08748615725359911,0.08985330073349633,0.08490566037735849,0.06164383561643835,0.0963855421686747,0.08958333333333333,0.10495626822157435,0.0997624703087886,0.08808290155440414,0.046632124352331605,0.05714285714285714,0.08450704225352113,0.09248554913294797,0.047619047619047616,0.025252525252525252,0.09090909090909091,0.07017543859649122,0.0967741935483871,0.0784313725490196,0.025,,0.05084745762711865,,1.0,0.07352941176470588,,0.05714285714285714,0.06896551724137931,0.15,,0.07142857142857142,,0.5,,0.09090909090909091,,,,,,,,,,
2,2017,0.06842105263157895,0.062173546756529065,0.0739012642986153,0.07611336032388664,0.0699822380106572,0.06586951961401301,0.0636042402826855,0.07872539831302718,0.07424812030075188,0.07609475951184494,0.07203114860480207,0.07035047326682016,0.09369202226345083,0.09723160027008777,0.07447973713033954,0.0751526538280883,0.08110065170166546,0.0872093023255814,0.04342273307790549,0.07352941176470588,0.05714285714285714,0.0743801652892562,0.050505050505050504,0.07386363636363637,0.05725190839694656,0.07653061224489796,0.05220883534136546,0.09090909090909091,0.05583756345177665,0.02247191011235955,0.04918032786885246,0.15,0.1342281879194631,0.05555555555555555,0.05263157894736842,0.0641025641025641,,0.5,0.06329113924050633,,0.0625,0.05555555555555555,,0.045454545454545456,0.11538461538461539,,,,,,,,,,,,,,
2,2018,0.07328809376927822,0.06509146341463415,0.07397383852052324,0.07465235423273969,,,0.07067778180500181,0.07794294897549217,0.08260646485377117,0.0823045267489712,0.07407407407407407,,0.07363420427553444,0.06652046783625731,0.06440677966101695,0.07680646791308741,0.08848920863309352,,,0.0673076923076923,,0.02702702702702703,0.08948863636363637,0.037037037037037035,,0.0913978494623656,0.09507042253521127,0.07936507936507936,0.07582938388625593,0.06097560975609756,0.05194805194805195,0.140625,0.09821428571428571,0.05555555555555555,,0.07407407407407407,0.125,,0.029411764705882353,,0.038461538461538464,0.1111111111111111,0.09375,,,,0.5,,0.2,,,,,,,,1.0,,
2,2019,0.06437262854899908,0.05639718014099295,0.06357684355616816,0.056376847907792536,0.06812086536742357,0.07561353084236126,0.06171932402645114,0.06729428172942817,,0.06832740213523132,0.07138263665594856,0.08610117526826776,0.1753846153846154,0.08126603934987169,0.16613418530351437,0.08157894736842106,0.07670454545454546,0.08403361344537816,0.05828220858895705,0.10679611650485436,0.04377880184331797,0.015151515151515152,0.0752,0.05737704918032787,0.07883817427385892,0.10256410256410256,0.0707070707070707,0.0967741935483871,,0.11594202898550725,0.013333333333333334,0.08695652173913043,0.04504504504504504,0.1,,0.06504065040650407,,,0.031578947368421054,1.0,0.024242424242424242,,0.03125,0.04,0.21212121212121213,,0.5,,,,,,,,,,,,
2,2020,,0.07472959685349066,0.06082907780114148,0.05888304330230676,0.09022082018927445,0.14245104232469993,0.06981981981981981,0.07438303788668753,0.1227106227106227,0.044444444444444446,0.05708529214237743,0.12766768292682926,0.06923076923076923,0.06997455470737914,0.18604651162790697,0.12968917470525188,0.13026052104208416,0.12062937062937062,0.08090614886731391,0.10526315789473684,0.10752688172043011,0.3333333333333333,0.08387096774193549,0.09333333333333334,0.08333333333333333,0.07142857142857142,0.05642023346303502,0.11764705882352941,0.08379888268156424,0.06896551724137931,0.14492753623188406,0.043478260869565216,0.05263157894736842,0.037037037037037035,0.09302325581395349,0.1,0.13333333333333333,,0.10476190476190476,,,,0.020833333333333332,0.10256410256410256,0.08333333333333333,,,,,,0.09230769230769231,0.038461538461538464,0.47619047619047616,,,,,,
2,2021,,0.06363199230645937,,0.070369675361231,0.07196241725389707,0.06710559635350721,0.05754745405242543,,0.07354555433589462,0.0651602732527588,0.06902452937820878,0.06246575342465754,0.06306306306306306,0.06515151515151515,0.08196721311475409,0.21910112359550563,0.07171717171717172,0.07709750566893424,0.050173010380622836,0.07407407407407407,0.09836065573770492,,0.0867430441898527,0.0641025641025641,0.0379746835443038,0.13513513513513514,,0.05555555555555555,0.03910614525139665,,0.05,0.15384615384615385,,0.034482758620689655,0.09090909090909091,0.03804347826086957,,,0.09821428571428571,,0.08140947752126367,0.2,0.04878048780487805,0.08823529411764706,0.07692307692307693,,1.0,,0.14285714285714285,0.06032358298510661,,,,0.2,0.25,,,,
2,2022,0.09196861297022849,,0.0865118850193477,,0.07410327158060702,0.12699514226231784,,0.06517016654598118,0.07387475538160469,,0.08248009101251422,0.07816316560820713,0.09722222222222222,0.07681365576102418,0.06666666666666667,0.07373271889400922,0.08070714834742505,0.05517241379310345,0.0774818401937046,0.058823529411764705,0.09130434782608696,,,0.10679611650485436,0.055865921787709494,0.15,0.07901907356948229,0.17073170731707318,0.08536585365853659,,,,0.06077348066298342,0.13333333333333333,0.044444444444444446,,,,,,0.06391478029294274,0.3333333333333333,,0.08888888888888889,,,,,,,0.0967741935483871,0.08108108108108109,,,0.16666666666666666,,,,
2,2023,0.27539503386004516,0.27902946273830154,0.2864721485411141,,0.29422382671480146,0.28023598820059,0.3445121951219512,0.2623456790123457,0.20994475138121546,0.243006993006993,0.2833333333333333,0.33,0.25,0.22972972972972974,0.4,0.36470588235294116,0.3125,0.25806451612903225,0.3170731707317073,,0.2647058823529412,,0.27956989247311825,0.5,0.2857142857142857,0.5,0.2692307692307692,,0.2857142857142857,,0.42857142857142855,,0.3157894736842105,,0.5,0.32142857142857145,0.5,0.5,,,0.21052631578947367,,0.2857142857142857,,,,,,,0.24700239808153476,0.5,0.3333333333333333,,,,,,,
3,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1998,,0.25,,,,,,,0.5,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2000,0.3333333333333333,0.25,,,,,,,0.5,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2001,0.08333333333333333,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,,,,,,,,,0.3333333333333333,,,,,1.0,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2004,0.5,,0.25,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,
3,2005,,0.2,,,,,,0.25,,,,,,,0.25,,1.0,0.3333333333333333,,,0.2,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2006,,0.10526315789473684,0.4,,0.3333333333333333,,,,,,,,,0.2222222222222222,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2007,,0.022556390977443608,0.015625,0.034482758620689655,,,,,0.023809523809523808,0.041666666666666664,,,,0.02127659574468085,0.029411764705882353,,,0.028169014084507043,,0.03773584905660377,,,,,0.05,,,0.0625,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,
3,2008,0.0720377703320134,0.07563025210084033,0.07536973833902162,0.07722308892355695,0.07992733878292461,0.08434307436445712,0.07004160887656033,0.08614782183064121,0.08196721311475409,0.07731434384537131,0.06774580335731414,0.09055425448868072,0.08830022075055188,0.07777777777777778,0.07554417413572344,,0.05909943714821764,0.07644305772230889,0.0847682119205298,0.05874499332443257,0.06764705882352941,0.10948905109489052,0.09541984732824428,0.0931174089068826,0.0446927374301676,0.060542797494780795,0.09803921568627451,,0.02962962962962963,0.0737913486005089,0.10526315789473684,0.06862745098039216,0.07058823529411765,,,0.05555555555555555,0.07692307692307693,1.0,0.14814814814814814,,,0.11538461538461539,0.03571428571428571,,0.17647058823529413,0.5,,,0.07142857142857142,,,,,,,,,,
3,2009,0.07194679564691657,0.077491601343785,0.07686262181703866,0.060918187168922895,0.08110236220472442,0.09440074039796391,0.06882591093117409,0.08995633187772925,0.09016870273414776,0.0728862973760933,,0.0947098976109215,0.08305084745762711,0.09617918313570488,0.0889132821075741,0.09771689497716896,0.07922392886014551,0.08653846153846154,0.06467661691542288,,0.10089020771513353,0.029605263157894735,0.07079646017699115,,0.07368421052631578,0.09437751004016064,0.1276595744680851,0.1144578313253012,0.045871559633027525,,0.13333333333333333,0.10743801652892562,0.10738255033557047,0.04938271604938271,,0.18518518518518517,,,0.045454545454545456,,,,0.05,0.2,0.1,,,,,,,,,,,,,,
3,2010,0.08692952499223844,0.08057726999398677,0.07923269391159299,0.09215686274509804,0.07648780487804878,0.08637236084452975,0.07492795389048991,0.09365006852444038,0.06345044572627163,0.09473684210526316,0.08151791988756149,0.09098712446351931,0.06693440428380187,,0.08788853161843516,0.09624514458351316,0.08448540706605223,0.0940959409594096,0.08777969018932874,0.09067017082785808,0.0749063670411985,,0.07142857142857142,0.10222222222222223,0.09424083769633508,,0.125,0.1111111111111111,0.08080808080808081,0.06232294617563739,0.09090909090909091,,0.044642857142857144,0.05454545454545454,,0.17391304347826086,0.1111111111111111,,0.058823529411764705,,0.2,0.0625,0.05555555555555555,0.09090909090909091,0.06896551724137931,,,,0.07692307692307693,,,,,,,,,,
3,2011,0.0792575132586918,0.06976744186046512,0.07406113537117905,0.07301587301587302,0.08901665344964314,0.07341327873647266,0.07351290684624018,0.09388971684053651,0.09037116729424421,0.09456869009584665,0.08796622097114708,0.07150480256136606,0.10332749562171628,0.0846740050804403,0.08138238573021182,0.09774881516587677,,0.07971014492753623,0.06885245901639345,0.1014760147601476,0.09206349206349207,0.051470588235294115,0.08823529411764706,0.043478260869565216,0.06936416184971098,0.07219251336898395,0.060240963855421686,0.064,0.052083333333333336,0.09844559585492228,0.07407407407407407,0.09090909090909091,0.060240963855421686,0.08196721311475409,0.25,0.0851063829787234,0.07142857142857142,,0.14285714285714285,,,0.05555555555555555,0.09090909090909091,0.18181818181818182,0.08823529411764706,,,,0.18181818181818182,,,,,,,,,,
3,2012,0.07834453268173489,0.076937441643324,0.08349514563106795,0.07738256855824056,0.07619622034579815,0.08721326368385192,0.07168643630737494,0.06372549019607843,0.06744556558682953,0.07198748043818466,0.0800552104899931,0.0794979079497908,0.08695652173913043,0.12281976744186046,0.10249671484888305,0.09687699171446781,0.10141509433962265,0.07807807807807808,0.08897485493230174,0.08661417322834646,0.06306306306306306,0.06694560669456066,0.06635071090047394,0.04597701149425287,0.07926829268292683,0.07239819004524888,0.12389380530973451,0.05970149253731343,0.09917355371900827,0.059782608695652176,0.058823529411764705,0.07272727272727272,0.0945945945945946,0.06382978723404255,,0.11666666666666667,0.15384615384615385,0.2222222222222222,,,0.2,0.08333333333333333,0.08333333333333333,,0.047619047619047616,,,,,,,,,,,,,,
3,2013,0.08359643102264928,0.0775691699604743,0.09283216783216783,0.06758976766017367,0.0874820733456259,0.07994114762138303,0.07270693512304251,0.0880300590445518,0.07644305772230889,0.07018763029881862,0.06308557151780138,0.0825910931174089,0.10199004975124377,0.08676470588235294,0.0785024154589372,0.09375,0.0990990990990991,0.07773851590106007,0.08364312267657993,0.0944558521560575,0.07541899441340782,0.10256410256410256,0.0860655737704918,0.05701754385964912,0.0896551724137931,0.09392265193370165,0.0196078431372549,0.11510791366906475,0.07142857142857142,0.07432432432432433,0.0967741935483871,0.15789473684210525,0.12643678160919541,0.027777777777777776,0.08333333333333333,0.08888888888888889,0.0625,,0.05,,0.058823529411764705,0.19230769230769232,0.1111111111111111,0.13636363636363635,0.20689655172413793,,,,,,,,,,,,,,
3,2014,0.07680448493342677,0.06715948411450141,0.08156521739130435,0.07731489903583773,0.07727272727272727,0.07574349442379182,0.073558648111332,0.0913312693498452,0.10056730273336771,0.07586657946370176,0.08866371120962635,0.0753474762253109,,0.09219269102990033,0.09040793825799338,0.08389585342333655,0.07495069033530571,0.07525655644241733,0.09591836734693877,0.08576998050682261,0.08157894736842106,0.060714285714285714,0.06854838709677419,0.08627450980392157,0.05649717514124294,0.08290155440414508,0.058823529411764705,0.1111111111111111,0.10687022900763359,0.088,0.1111111111111111,0.047619047619047616,0.136986301369863,0.0625,0.09090909090909091,0.09090909090909091,,,,,0.1875,,,0.15384615384615385,0.15,,,,0.42857142857142855,,,,,,,,,,
3,2015,0.07875674963782431,0.080078125,0.08340297509610563,0.091143816163181,0.08222811671087533,0.09043635541487678,0.07078384798099763,0.08208955223880597,0.08682328907048008,0.08974358974358974,0.08591731266149871,0.0808588396528095,0.15804195804195803,0.05857445306986592,,0.11243016759776536,0.08780487804878048,0.08098159509202454,0.07344632768361582,0.07894736842105263,0.07729468599033816,0.022082018927444796,0.10119047619047619,0.034482758620689655,0.06635071090047394,0.10555555555555556,0.09316770186335403,0.06989247311827956,0.05217391304347826,0.11711711711711711,0.10344827586206896,0.0851063829787234,0.043478260869565216,,,0.05128205128205128,0.07142857142857142,,0.05,,0.09090909090909091,,0.15384615384615385,0.2857142857142857,,,,,,,,,,,,,,,
3,2016,0.08040800105974301,0.06967139522355899,0.08241062954761151,0.07736526946107784,0.08584474885844749,0.0808899979205656,0.07886435331230283,0.08285714285714285,0.10187110187110188,0.09160839160839161,0.07598197037990985,0.07838983050847458,0.09023789991796555,0.06277372262773723,0.08859357696567,0.07029339853300734,0.08319039451114923,0.0639269406392694,0.08433734939759036,0.08541666666666667,0.0728862973760933,0.047505938242280284,0.054404145077720206,0.06217616580310881,0.07142857142857142,0.11737089201877934,0.09248554913294797,0.08163265306122448,0.06060606060606061,0.07272727272727272,0.07017543859649122,0.08064516129032258,0.00980392156862745,0.1,0.1,0.05084745762711865,,,0.07352941176470588,,,0.06896551724137931,0.15,0.15384615384615385,0.07142857142857142,,,,0.18181818181818182,,,,,,,,,,
3,2017,0.08202824133504492,0.0679022746419545,0.07811559301625527,0.0815114709851552,0.07690941385435168,0.09649674847912733,0.0785237534354142,0.07638238050609185,0.08270676691729323,0.07968413496051686,0.09085009733939,0.09311844461499105,0.12152133580705009,0.07765023632680622,0.09967141292442497,0.07280413339596055,0.08037653874004344,0.08624031007751938,0.08045977011494253,0.1092436974789916,0.07936507936507936,0.11294765840220386,0.08484848484848485,0.11363636363636363,0.10687022900763359,0.10204081632653061,0.07630522088353414,0.07692307692307693,0.06598984771573604,0.02247191011235955,0.06557377049180328,0.1,0.06711409395973154,0.027777777777777776,0.21052631578947367,0.07692307692307693,,,0.12658227848101267,,0.0625,0.05555555555555555,,0.09090909090909091,,,,,,,,,,,,,,,
3,2018,0.0893275755706354,0.06814024390243903,0.0804390317245527,0.08831422298121493,,,0.07430228343602754,0.08115709120128566,0.08311954848640328,0.0775034293552812,0.08171663727219283,,0.08788598574821853,0.07017543859649122,0.096045197740113,0.09348155634158666,0.08633093525179857,,,0.10817307692307693,,0.02702702702702703,0.07954545454545454,0.05555555555555555,,0.08064516129032258,0.10211267605633803,0.10317460317460317,0.06635071090047394,0.07317073170731707,0.1038961038961039,0.046875,0.13392857142857142,0.25,0.2,0.07407407407407407,,,0.029411764705882353,,0.057692307692307696,0.1111111111111111,0.03125,,,,,,,,,,,,,,,,
3,2019,0.07824152819573466,0.07709614519274036,0.08752584424534804,0.06489601603608118,0.08439120328982656,0.0866681406146363,0.08412931667891256,0.08228730822873083,,0.07615658362989323,0.08038585209003216,0.0970873786407767,0.13230769230769232,0.08383233532934131,0.16293929712460065,0.09210526315789473,0.08735795454545454,0.09138655462184873,0.09662576687116564,0.13592233009708737,0.08986175115207373,0.015151515151515152,0.0736,0.06147540983606557,0.07468879668049792,0.09401709401709402,0.05387205387205387,0.08602150537634409,,0.15942028985507245,0.08,0.13043478260869565,0.07207207207207207,0.04,,0.07317073170731707,0.06666666666666667,0.3333333333333333,0.07368421052631578,,0.030303030303030304,0.08333333333333333,0.09375,0.14,0.030303030303030304,0.25,,,,,,,,,,,,,
3,2020,,0.07046869878728286,0.07134274556924002,0.06171590449210846,0.08559411146161935,0.10296904611497157,0.0731981981981982,0.0862009037191519,0.0927960927960928,0.031746031746031744,0.06984553391537945,0.12042682926829268,0.038461538461538464,0.09541984732824428,0.046511627906976744,0.11682743837084673,0.10220440881763528,0.07692307692307693,0.10679611650485436,0.15789473684210525,0.08333333333333333,0.16666666666666666,0.08387096774193549,0.12,0.07777777777777778,0.07142857142857142,0.07198443579766536,0.10294117647058823,0.07262569832402235,0.1724137931034483,0.13043478260869565,0.21739130434782608,0.029239766081871343,0.07407407407407407,0.023255813953488372,0.07692307692307693,0.13333333333333333,,0.047619047619047616,,,,0.041666666666666664,0.05128205128205128,0.041666666666666664,,,,0.2,0.07669584245076587,0.09230769230769231,0.07692307692307693,,,0.25,1.0,,,
3,2021,,0.07196666132393012,,0.0692437605554513,0.07217595558402733,0.0731830843251456,0.07020186803253992,,0.07025246981339188,0.08127517954107549,0.06788362806617228,0.06904109589041096,0.13513513513513514,0.09545454545454546,0.09836065573770492,0.05337078651685393,0.06262626262626263,0.07936507936507936,0.05709342560553633,0.037037037037037035,0.08852459016393442,,0.09328968903436989,0.038461538461538464,0.08860759493670886,0.05405405405405406,,0.1111111111111111,0.0670391061452514,0.14285714285714285,0.0875,0.38461538461538464,,0.034482758620689655,0.11363636363636363,0.08695652173913043,,,0.09821428571428571,,0.0959902794653706,0.2,0.07317073170731707,0.11764705882352941,,,,,0.14285714285714285,0.07178827815279117,,,,0.4,,,,,
3,2022,0.09531502423263329,,0.089828634604754,,0.08356326369728025,0.11265325005783021,,0.08580738595220855,0.07142857142857142,,0.08930602957906712,0.07767464582315584,0.1388888888888889,0.06685633001422475,0.06666666666666667,0.10752688172043011,0.07378939277478862,0.09137931034482759,0.09322033898305085,0.14705882352941177,0.07391304347826087,0.5,,0.07766990291262135,0.07262569832402235,0.35,0.11716621253405994,0.0975609756097561,0.07317073170731707,0.1875,,0.3333333333333333,0.06077348066298342,0.06666666666666667,0.044444444444444446,,,,,,0.0985352862849534,,,0.15555555555555556,,,0.5,,0.14285714285714285,,0.08064516129032258,0.02702702702702703,0.17857142857142858,,,,,,
4,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1999,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2000,,,,,,,,,,,,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2001,,0.16666666666666666,0.25,,,,,0.5,,,,,0.047619047619047616,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2003,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2005,,,,0.5,1.0,,,0.25,,,,,,,,,,0.16666666666666666,,0.25,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2006,0.3333333333333333,0.10526315789473684,,,0.3333333333333333,,,0.25,,,,,,0.1111111111111111,,,,,,0.3,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2007,0.013157894736842105,0.022556390977443608,,,,,,,0.023809523809523808,,,,,0.02127659574468085,0.029411764705882353,0.3333333333333333,,0.014084507042253521,,0.018867924528301886,0.09090909090909091,,,,,,0.14285714285714285,0.020833333333333332,,,,,,,,,,,,,0.3333333333333333,,,,,,,,0.3333333333333333,0.04285714285714286,,,,,,,,,
