,,Burglary/Breaking & Entering,All Other Larceny,Destruction/Damage/Vandalism of Property,Motor Vehicle Theft,Simple Assault,Shoplifting,Aggravated Assault,Intimidation,Theft From Building,Theft of Motor Vehicle Parts or Accessories,Robbery,Trespass of Real Property,Impersonation,Credit Card/Automated Teller Machine Fraud,"Family Offenses, Nonviolent",Drug/Narcotic Violations,Driving Under the Influence,False Pretenses/Swindle/Confidence Game,Weapon Law Violations,Bad Checks,Counterfeiting/Forgery,Prostitution,Stolen Property Offenses,Pocket-picking,Fondling,Drug Equipment Violations,Wire Fraud,Embezzlement,Rape,Liquor Law Violations,Sodomy,Curfew/Loitering/Vagrancy Violations,Arson,Purse-snatching,Sexual Assault With An Object,Kidnapping/Abduction,Peeping Tom,Welfare Fraud,Extortion/Blackmail,Incest,Identity Theft,Assisting or Promoting Prostitution,Murder & Nonnegligent Manslaughter,Pornography/Obscene Material,Theft From Coin-Operated Machine or Device,Negligent Manslaughter,Justifiable Homicide,Betting/Wagering,Statutory Rape,Theft From Motor Vehicle,Hacking/Computer Invasion,Animal Cruelty,Purchasing Prostitution,Drunkenness,"Human Trafficking, Commercial Sex Acts",Bribery,Operating/Promoting/Assisting Gambling,Gambling Equipment Violation,"Human Trafficking, Involuntary Servitude"
1,2009,0.08192261185006046,0.08286674132138858,0.08456460232631248,0.07945850500294291,0.08877952755905512,0.09324386857936141,0.08675534991324466,0.0794759825327511,0.07271669575334497,0.13177842565597667,,0.07849829351535836,0.11016949152542373,0.10606060606060606,0.10098792535675083,0.1,0.08973322554567502,0.12179487179487179,0.09286898839137644,,0.10089020771513353,0.06907894736842106,0.1504424778761062,,0.06315789473684211,0.10240963855421686,0.06382978723404255,0.08433734939759036,0.11926605504587157,,,0.10743801652892562,0.087248322147651,0.13580246913580246,0.25,0.018518518518518517,,,0.09090909090909091,1.0,0.5,0.08695652173913043,0.1,0.13333333333333333,0.1,,,,,,,,,,,,,,
1,2010,,0.07997594708358388,0.08924103419516263,0.12016806722689076,0.08253658536585366,0.08554976693172471,0.08069164265129683,0.07903152124257652,0.07341373885684321,0.0742382271468144,0.10470836261419536,0.06609442060085836,0.10575635876840696,,0.08038585209003216,0.08157099697885196,0.10368663594470046,0.0940959409594096,0.0774526678141136,0.10775295663600526,0.0749063670411985,,0.10504201680672269,0.10222222222222223,0.08376963350785341,,0.017857142857142856,0.15555555555555556,0.08080808080808081,0.0764872521246459,0.09090909090909091,,0.10714285714285714,0.14545454545454545,,0.10869565217391304,0.1111111111111111,0.25,0.11764705882352941,0.5,,0.09375,0.05555555555555555,0.18181818181818182,,,,,0.07692307692307693,,,,,,,,,,
1,2011,0.09325279905715969,0.06707668652700365,0.08349344978165939,0.07243867243867244,0.0880253766851705,0.07312079555425563,0.0819304152637486,0.07600596125186289,0.10112963959117806,0.10159744408945687,0.08304011259676285,0.08858057630736393,0.09106830122591944,0.0846740050804403,0.09141583054626533,0.11670616113744076,,0.09420289855072464,0.09836065573770492,0.11070110701107011,0.09523809523809523,0.10049019607843138,0.12184873949579832,0.057971014492753624,0.12138728323699421,0.13903743315508021,0.012048192771084338,0.12,0.0625,0.12435233160621761,0.07407407407407407,0.09090909090909091,0.07228915662650602,0.06557377049180328,,0.06382978723404255,0.07142857142857142,,,0.5,0.2857142857142857,0.1111111111111111,0.045454545454545456,0.09090909090909091,0.11764705882352941,,,,0.09090909090909091,,,,,,,,,,
1,2012,0.07864996945632254,0.0704014939309057,0.07555163283318624,0.07439587292967689,0.08021712907117008,0.07699295934590052,0.07735946364105209,0.06372549019607843,0.07806691449814127,0.07746478873239436,0.08074534161490683,0.0794979079497908,0.12143928035982009,0.07049418604651163,0.09592641261498029,0.07648183556405354,0.06839622641509434,0.06306306306306306,0.07930367504835589,0.07677165354330709,0.036036036036036036,0.12552301255230125,0.07582938388625593,0.10344827586206896,0.11585365853658537,0.10180995475113122,0.07964601769911504,0.11940298507462686,0.06611570247933884,0.03260869565217391,0.08823529411764706,0.03636363636363636,0.10810810810810811,0.06382978723404255,,0.05,0.07692307692307693,,,,0.2,0.08333333333333333,0.16666666666666666,0.07142857142857142,0.047619047619047616,,,,0.2222222222222222,,,,,,,,,,
1,2013,0.08743994509265614,0.07509881422924901,0.07447552447552448,0.07862004224360479,0.07559926244622003,0.0922020598332516,0.07158836689038031,0.08641975308641975,0.08840353614144565,0.08895066018068103,0.07557776389756403,0.07773279352226721,0.09701492537313433,0.11029411764705882,0.08091787439613526,0.07886904761904762,0.07927927927927927,0.0800942285041225,0.06691449814126393,0.07597535934291581,0.061452513966480445,0.05128205128205128,0.0778688524590164,0.10526315789473684,0.10344827586206896,0.14917127071823205,0.13725490196078433,0.11510791366906475,0.08035714285714286,0.05405405405405406,0.0967741935483871,0.14035087719298245,0.04597701149425287,0.05555555555555555,0.08333333333333333,0.13333333333333333,0.0625,,0.1,0.2,0.058823529411764705,0.038461538461538464,,0.13636363636363635,0.13793103448275862,,,,,,,,,,,,,,
1,2014,0.08871758934828311,0.07093425605536333,0.07791304347826086,0.07895215572130253,0.07885375494071147,0.07760223048327138,0.08101391650099403,0.1021671826625387,0.09437854564208355,0.1092217135382603,0.08296390120329322,0.08339429407461595,,0.09053156146179402,0.0782800441014333,0.10607521697203472,0.10946745562130178,0.06727480045610035,0.07346938775510205,0.09551656920077972,0.07105263157894737,0.04642857142857143,0.07258064516129033,0.08627450980392157,0.0847457627118644,0.13471502590673576,0.13725490196078433,0.08496732026143791,0.04580152671755725,0.04,0.14814814814814814,0.2857142857142857,0.0547945205479452,0.0625,0.09090909090909091,0.05454545454545454,0.2222222222222222,,0.1,0.3333333333333333,0.25,,0.043478260869565216,0.23076923076923078,,,0.2,,,,,,,,,,,,
1,2015,0.07322533912814434,0.08056640625,0.07755306702323249,0.09992254066615028,0.08052292535051156,0.08840153741804205,0.07363420427553444,0.08159203980099503,0.0745658835546476,0.08376068376068375,0.0872093023255814,0.06761078117862038,0.1,0.053634438955539876,,0.0893854748603352,0.09170731707317073,0.11288343558282209,0.06779661016949153,0.07894736842105263,0.05314009661835749,0.15457413249211358,0.08333333333333333,0.09359605911330049,0.08530805687203792,0.07777777777777778,0.10559006211180125,0.06451612903225806,0.0782608695652174,0.13513513513513514,0.10344827586206896,0.1276595744680851,0.05434782608695652,0.12121212121212122,,0.07692307692307693,0.07142857142857142,,0.1,,0.13636363636363635,0.038461538461538464,,0.14285714285714285,0.2222222222222222,,,,,,,,,,,1.0,,,
1,2016,0.09259504570141741,0.07523792422337942,0.07924707371085099,0.09317365269461078,0.07287671232876712,0.0808899979205656,0.08337088778729157,0.08285714285714285,0.10395010395010396,0.08601398601398601,0.0901481004507405,0.07944915254237288,0.08531583264971287,0.07372262773722628,0.06976744186046512,0.08068459657701711,0.08061749571183534,0.0867579908675799,0.07680722891566265,0.08958333333333333,0.09912536443148688,0.07125890736342043,0.11398963730569948,0.05181347150259067,0.08571428571428572,0.10328638497652583,0.09826589595375723,0.12244897959183673,0.1111111111111111,0.11818181818181818,0.05263157894736842,0.08064516129032258,0.0784313725490196,0.05,0.1,0.05084745762711865,0.1111111111111111,,0.11764705882352941,0.25,0.14285714285714285,0.2413793103448276,0.15,,0.21428571428571427,,,,0.18181818181818182,,,,1.0,,,,,,
1,2017,0.08639281129653402,0.06941870261162594,0.08534015653220951,0.08340080971659919,0.0847246891651865,0.08516886930983847,0.07106399685904986,0.07966260543580131,0.08411654135338346,0.07753050969131371,0.07397793640493186,0.07623433103095421,0.0862708719851577,0.10060769750168805,0.0832420591456736,0.07656176608736497,0.08761766835626358,0.07461240310077519,0.07279693486590039,0.07563025210084033,0.13333333333333333,0.07713498622589532,0.08282828282828283,0.08522727272727272,0.08015267175572519,0.09693877551020408,0.08835341365461848,0.07692307692307693,0.1065989847715736,0.0898876404494382,0.09836065573770492,0.06666666666666667,0.06711409395973154,0.027777777777777776,0.15789473684210525,0.07692307692307693,,,0.05063291139240506,0.5,0.1875,0.2222222222222222,0.07407407407407407,0.13636363636363635,0.038461538461538464,,,,0.4166666666666667,,1.0,,,,0.5,,,,
1,2018,0.083775447254781,0.0711890243902439,0.08104044504585776,0.07855574530373262,,,0.06777818050018122,0.07834471675371635,0.0918419702411493,0.07338820301783265,0.0805408583186361,,0.11401425178147269,0.09649122807017543,0.0711864406779661,0.08236483072258717,0.08776978417266187,,,0.09615384615384616,,0.009009009009009009,0.07528409090909091,0.06481481481481481,,0.043010752688172046,0.07042253521126761,0.10317460317460317,0.11848341232227488,0.06097560975609756,0.07792207792207792,0.0625,0.09821428571428571,0.1111111111111111,0.25,0.08641975308641975,0.0625,,0.049019607843137254,,0.1346153846153846,0.2222222222222222,0.0625,,,,,1.0,,,,,,,,,,,
